SaleID,price
200000,1260.662275710868
200001,1889.2518465929447
200002,8383.31672832935
200003,1233.687912619356
200004,2083.6106069480406
200005,1156.5482493878685
200006,446.17694504052224
200007,3249.491453258718
200008,13305.641323454412
200009,592.8619079762597
200010,619.4689991636536
200011,2626.014467775133
200012,5917.610658494921
200013,7461.127129348468
200014,1316.9192249643413
200015,260.06049974716643
200016,1782.6493326353598
200017,8261.657520686162
200018,6849.3598176571395
200019,670.895948761022
200020,24547.46560449445
200021,7905.807641769437
200022,2005.4234476826546
200023,1534.2599226123966
200024,803.8565606090915
200025,8678.578728447612
200026,528.7346534154635
200027,12556.072379562258
200028,4386.621586266392
200029,8073.615808385631
200030,18687.088620501425
200031,13608.785504132955
200032,614.3884973445109
200033,14669.847518668601
200034,920.2043630328304
200035,2038.6105365282788
200036,14968.276066245893
200037,5935.448762506094
200038,1581.9505115285815
200039,360.22274516476375
200040,589.1281400358923
200041,28863.015998101888
200042,439.3450928302876
200043,7683.107656899326
200044,18403.831122799224
200045,521.3426857463367
200046,16046.352942261878
200047,17532.30183976409
200048,2144.4752111084244
200049,3054.255926543451
200050,622.5962584181268
200051,4285.040930212255
200052,2890.7230463636115
200053,500.78508454859366
200054,12984.189781072884
200055,11180.315217467232
200056,6101.600850535718
200057,3259.815245886857
200058,972.5372185555901
200059,5202.430045896593
200060,8113.178328640841
200061,1098.946218252535
200062,5522.651036526419
200063,8170.433105332818
200064,1284.6918179051943
200065,1642.5390973495
200066,496.9732242809931
200067,10121.28070098928
200068,181.85333558316628
200069,17304.42463524892
200070,9409.61113862096
200071,309.15258446092594
200072,6537.233681931948
200073,19405.091203800413
200074,4351.882762618634
200075,13246.03522686577
200076,2916.838301575761
200077,340.46648441452277
200078,369.70705040890107
200079,2926.6129141633987
200080,3215.699248648224
200081,2090.0660325613617
200082,4075.7250719387057
200083,439.30436376186526
200084,1213.906524949625
200085,1432.2560570127443
200086,6857.41295305057
200087,3334.3738873451375
200088,2765.6802172386233
200089,41398.72409614384
200090,2636.541239792047
200091,200.60542984388377
200092,1455.9715194410942
200093,17023.226894662563
200094,6396.296224270902
200095,5952.2062468773765
200096,2421.5428193572893
200097,1189.399270660552
200098,437.14344388495067
200099,20495.793459170563
200100,20839.414171099015
200101,7687.367048642909
200102,1804.6995588932932
200103,11008.349853982741
200104,5567.549938352201
200105,4390.581277002042
200106,8084.3590918418095
200107,2178.679274651931
200108,14316.945151797021
200109,7779.473720544241
200110,641.7498438626923
200111,1972.1287530306195
200112,1792.184475677475
200113,629.6785239977842
200114,2111.496200796265
200115,1156.0045406355885
200116,14293.480037247671
200117,16612.749952661274
200118,56650.86552670204
200119,201.92362861845953
200120,2894.1306583441537
200121,2661.1633561568487
200122,679.5080121066294
200123,2519.670312019581
200124,56802.56480109438
200125,543.8068739112282
200126,2940.595676175946
200127,15762.864472886435
